# NAME       REDSHIFT            AGN_TYPE SAMPLE SCANPI FUV_FLUX FUV_ERR NUV_FLUX NUV_ERR MODELFLUX_U MODELFLUXERR_U MODELFLUX_G MODELFLUXERR_G MODELFLUX_R MODELFLUXERR_R MODELFLUX_I MODELFLUXERR_I MODELFLUX_Z MODELFLUXERR_Z J_2MASS       J_2MASS_ERR     H_2MASS       H_2MASS_ERR     K_2MASS       K_2MASS_ERR     W1                 W1_ERR             W2                 W2_ERR             W3                 W3_ERR             W4                 W4_ERR             IRAS12             IRAS12_ERR         IRAS25             IRAS25_ERR         IRAS60             IRAS60_ERR        IRAS100           IRAS100_ERR        PACS70            PACS70_ERR         PACS100 PACS100_ERR        PACS160 PACS160_ERR        SPIRE250           SPIRE250_ERR       SPIRE350          SPIRE350_ERR       SPIRE500 SPIRE500_ERR
  0945.1737 0.12800000607967377 2        12    0      0.039    0.004   0.059    0.003   0.169       0.003          0.354       0.002          0.775       0.003          1.119       0.004          0.948       0.01           1.43247917511 0.221203282696  1.34493085341 0.01             1.82780750042 0.355737706902  1.8354083979848252 0.5513895044982893 5.848184326145103  1.7551245812561054 56.233298582271516 16.87040098274777  313.2408297341866  93.97274809498614  126.80000066757202 60.               436.30000948905945 58.17333459854126  888.700008392334   37.02916701634725 568.8999891281128 118.52082635876233 -99.0             -99.0              -99.0   -99.0              -99.0   -99.0              -99.0              -99.0              -99.0             -99.0              -99.0    -99.0       
  0958.1439 0.10899999737739563 2        12    1      0.042    0.007   0.064    0.006   0.153       0.004          0.449       0.002          0.969       0.004          1.694       0.006          1.619       0.016          2.12074434226 0.170117073912  2.68843757465 0.292760360183  2.39183080582 0.298166181744  1.9958721332482672 0.5995697246313892 3.6899548524552013 1.1076556388154335 31.651446283033575 9.495886598071392  134.6103227938031  40.3839438739724   96.0               -99               123.0              -99.               230.0              63.0              895.0             -99.               -99.0             -99.0              -99.0   -99.0              -99.0   -99.0              -99.0              -99.0              -99.0             -99.0              -99.0    -99.0       
  1000.1242 0.14800000190734863 2        12    0      0.046    0.008   0.07     0.006   0.081       0.002          0.174       0.001          0.39        0.002          0.569       0.003          0.482       0.006          1.76558372572 0.243059501314  1.55847541853 0.449553225722  3.14145219422 0.414951235846  3.2819556990661094 0.98538795150006   7.089588896139763  2.1274677695132906 52.14270526795905  15.643230787499538 224.01565307578065 67.20522254198646  117.7000030875206  -99               371.6000020503998  -99.               282.79998898506165 39.27777728843099 427.8999865055084 -99.               -99.0             -99.0              -99.0   -99.0              -99.0   -99.0              -99.0              -99.0              -99.0             -99.0              -99.0    -99.0       
  1010.0612 0.09799999743700027 2        12    0      0.032    0.002   0.06     0.002   0.189       0.004          0.506       0.002          1.001       0.004          1.876       0.006          2.012       0.015          3.1921869444  0.392013695604  7.29625420546 0.565051576217  8.43199722859 0.66858806951   11.192644617428584 3.3585290264244176 16.727115376252254 5.018683748364514  67.91935602135807  20.376213244465575 296.9466059215062  89.08447399327261  112.30000108480453 33.029411157316005 288.3000075817108  54.39622588801021  518.8000202178955  37.05714430127825 593.999981880188  129.1304335206578  -99.0             -99.0              -99.0   -99.0              -99.0   -99.0              -99.0              -99.0              -99.0             -99.0              -99.0    -99.0       
  1010.1413 0.19900000095367432 2        12    1      0.055    0.007   0.056    0.001   0.11        0.003          0.251       0.002          0.737       0.003          0.855       0.014          0.776       0.008          1.7397558963  0.199126652716  2.4928718681  0.357093153399  2.08511712492 0.314212828761  1.8523912227955706 0.5565325687914271 5.641843726882511  1.693181465958762  59.923001603489055 17.977290857809518 248.3581211352929  74.50809024850477  99.0               -99.               220.0              52.0               490.0              45.0              312.0             -99.               -99.0             -99.0              -99.0   -99.0              -99.0   -99.0              -99.0              -99.0              -99.0             -99.0              -99.0    -99.0       
  1100.0846 0.10000000149011612 2        12    0      0.111    0.004   0.206    0.002   0.598       0.006          1.33        0.004          2.223       0.006          3.508       0.01           3.684       0.019          4.5132388413  0.395404508105  7.45246519846 0.590919231239  7.92009617129 0.679234946404  15.16815348174705  4.551148904835751  33.221638830825    9.967072150153754  188.97030302383877 56.691392641305335 542.3484030200395  162.7050211084618  -99.0              -99.0              -99.0              -99.0              -99.0              -99.0             -99.0             -99.0              580.3049926757812 12.204000473022461 568.136 13.96399974822998  459.709 10.807000160217285 220.0              15.100000381469727 69.9000015258789  14.0               -99.0    -99.0       
  1316.1753 0.15000000596046448 2        12    0      0.083    0.002   0.129    0.002   0.126       0.004          0.31        0.002          0.845       0.004          1.166       0.005          1.089       0.013          2.04780367033 0.230588346349  3.84680309365 0.376158776129  2.95073667854 0.354149546793  2.0918604766894564 0.6283917442244714 3.2826233355309267 0.9855071514175889 20.720181698420962 6.216440860712056  95.56048949309105  28.669154112914132 -99.0              -99.0              -99.0              -99.0              -99.0              -99.0             -99.0             -99.0              -99.0             -99.0              -99.0   -99.0              -99.0   -99.0              -99.0              -99.0              -99.0             -99.0              -99.0    -99.0       
  1338.1503 0.1850000023841858  2        2      1      0.04     0.006   0.042    0.001   0.097       0.003          0.221       0.001          0.482       0.002          0.661       0.003          0.702       0.008          0.90633409337 0.0517835346494 1.13422693547 0.0815537145043 1.25409505423 0.0762811981753 1.2148781312804067 0.3654298987978513 2.4627541098090773 0.7395584068683195 18.398972042210747 5.520254988077955  84.46530715323867  25.340772014799747 117.0              -99               154.0              -99.              350.0              83.0              639.0             -99.               -99.0             -99.0              -99.0   -99.0              -99.0   -99.0              -99.0              -99.0              -99.0             -99.0              -99.0    -99.0       
  1356.1026 0.12300000339746475 2        12    0      0.145    0.012   0.195    0.009   0.406       0.006          0.857       0.004          1.841       0.006          2.68        0.008          2.653       0.018          3.59160292899 0.278148326391  3.51155889457 0.366132130567  3.45406459507 0.501208281879  2.225013828661607  0.6682947922895127 4.473228183364608  1.3426066302911936 29.187275636259187 8.756611063622513  195.46921357611762 58.64156442227741  57.760000228881836 -99              211.50000393390656 43.16326526888506  797.2999811172485  41.96315690090782 604.9000024795532 137.47727031106797 785.572998046875  12.890999794006348 647.804 14.116000175476074 361.029 16.89900016784668  125.30000305175781 14.100000381469727 51.20000076293945 11.300000190734863 -99.0    -99.0       
  1430.1339 0.08500000089406967 2        12    0      0.28     0.016   0.38     0.007   0.751       0.006          1.872       0.005          2.57        0.006          4.227       0.01           3.821       0.017          4.52572662564 0.25440303372   6.06875991286 0.380336877206  5.32513295074 0.437000969313  6.6394593227831935 1.992534751246172  10.789990255941435 3.2375582767568765 43.01238846682909  12.904041246790772 181.58432906252168 54.47608511395881  105.40000349283218 -99              190.50000607967377 29.307693243026733 262.3000144958496  34.51316023516856 605.0000190734863 -99               372.3810119628906 9.385000228881836  394.679 52.13800048828125  300.414 14.402000427246094 -99.0              -99.0              -99.0             -99.0              -99.0    -99.0       
