N SFR z x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 ye1 ye2 ye3 ye4 ye5 ye6 ye7 ye8 ye9 ye10 ye11 ye12 ye13
1.0 6.243610184775554 0.30000000000000004 68548822645266.2 84722741414059.81 138356637897178.1 181970085860998.25 195433945577539.62 214289060112005.62 285101826750391.0 338064836205981.56 398107170553496.94 481947797625127.1 633869711256926.4 833681184619633.1 1976969640111858.0 1.225085333782105e-06 1.5857834566637111e-06 2.514392809546572e-06 2.1309081731142128e-06 2.050392441518172e-06 1.9906390155133784e-06 1.555839478613953e-06 1.368946571938693e-06 1.2370287536570324e-06 1.1227580919876302e-06 7.236781709400687e-07 5.917437948577765e-07 3.125845490862734e-08 1.225085333782105e-07 1.5857834566637113e-07 2.514392809546572e-07 2.1309081731142128e-07 2.050392441518172e-07 1.9906390155133785e-07 1.555839478613953e-07 1.368946571938693e-07 1.2370287536570325e-07 1.1227580919876303e-07 7.236781709400687e-08 5.917437948577765e-08 3.125845490862734e-09
2.0 2584.989669812619 1.9000000000000001 68548822645266.2 84722741414059.81 138356637897178.1 181970085860998.25 195433945577539.62 214289060112005.62 285101826750391.0 338064836205981.56 398107170553496.94 481947797625127.1 633869711256926.4 833681184619633.1 1976969640111858.0 0.0008066132431185958 0.0006755024840951518 0.00036633656198972313 0.0002464305790262267 0.00022363633049583985 0.00019752181123701786 9.945814003951134e-05 7.494240717850835e-05 5.8085610560183965e-05 4.152228439784386e-05 2.2419579140999866e-05 9.045923410574898e-06 2.72437965838577e-09 8.066132431185959e-05 6.755024840951518e-05 3.6633656198972316e-05 2.4643057902622673e-05 2.2363633049583988e-05 1.9752181123701788e-05 9.945814003951135e-06 7.494240717850835e-06 5.808561056018397e-06 4.152228439784386e-06 2.2419579140999866e-06 9.045923410574899e-07 2.72437965838577e-10
3.0 10.841461707673322 1.2000000000000002 68548822645266.2 84722741414059.81 138356637897178.1 181970085860998.25 195433945577539.62 214289060112005.62 285101826750391.0 338064836205981.56 398107170553496.94 481947797625127.1 633869711256926.4 833681184619633.1 1976969640111858.0 4.679838493401113e-06 5.57223603191822e-06 6.227166875845485e-06 6.429218049357781e-06 6.557911364778197e-06 6.822772336645005e-06 8.826393242531562e-06 1.0132986218870631e-05 9.030162809643837e-06 1.0972227406612107e-05 1.3336481342725456e-05 1.3616227429286361e-05 1.5574838122718184e-06 4.679838493401113e-07 5.57223603191822e-07 6.227166875845485e-07 6.429218049357781e-07 6.557911364778197e-07 6.822772336645005e-07 8.826393242531563e-07 1.0132986218870632e-06 9.030162809643837e-07 1.0972227406612108e-06 1.3336481342725457e-06 1.3616227429286362e-06 1.5574838122718186e-07
4.0 4.893863586127286 0.9 68548822645266.2 84722741414059.81 138356637897178.1 181970085860998.25 195433945577539.62 214289060112005.62 285101826750391.0 338064836205981.56 398107170553496.94 481947797625127.1 633869711256926.4 833681184619633.1 1976969640111858.0 2.1314466351246455e-06 2.650489539987432e-06 1.8332728695849476e-06 1.3890932787322377e-06 1.216980761345357e-06 1.0841026873863402e-06 7.472960127686681e-07 6.276021780278992e-07 4.329847055755827e-07 3.1968451508407494e-07 1.889934907739623e-07 1.4882444399492511e-07 2.2433613709935684e-10 2.1314466351246456e-07 2.6504895399874324e-07 1.8332728695849477e-07 1.3890932787322377e-07 1.2169807613453572e-07 1.0841026873863403e-07 7.472960127686682e-08 6.276021780278992e-08 4.329847055755827e-08 3.196845150840749e-08 1.889934907739623e-08 1.4882444399492511e-08 2.2433613709935685e-11
5.0 928.1431545998362 1.4000000000000001 68548822645266.2 84722741414059.81 138356637897178.1 181970085860998.25 195433945577539.62 214289060112005.62 285101826750391.0 338064836205981.56 398107170553496.94 481947797625127.1 633869711256926.4 833681184619633.1 1976969640111858.0 0.0007019060075768108 0.0006071076959538183 0.00039962403374662437 0.00028291174582873363 0.0002615289658918942 0.0002478001213847821 0.00019469369691292105 0.00013090284071162221 0.00011834071679380454 0.00010073421567793908 7.431805635943e-05 4.9414526928516775e-05 1.123898693583582e-07 7.019060075768109e-05 6.0710769595381834e-05 3.996240337466244e-05 2.8291174582873363e-05 2.6152896589189424e-05 2.4780012138478214e-05 1.9469369691292105e-05 1.3090284071162221e-05 1.1834071679380454e-05 1.0073421567793908e-05 7.431805635943e-06 4.941452692851678e-06 1.1238986935835821e-08
6.0 135.4482378193856 1.7000000000000002 68548822645266.2 84722741414059.81 138356637897178.1 181970085860998.25 195433945577539.62 214289060112005.62 285101826750391.0 338064836205981.56 398107170553496.94 481947797625127.1 633869711256926.4 833681184619633.1 1976969640111858.0 0.00012007429123423984 0.00010916952749061145 9.076182727050879e-05 8.380919307044237e-05 8.443515427057563e-05 8.47928002275701e-05 9.570701545544958e-05 7.809164272146207e-05 8.303864711770324e-05 8.642521501085851e-05 8.478444708697269e-05 7.917597780963162e-05 1.6328514729282408e-06 1.2007429123423985e-05 1.0916952749061145e-05 9.07618272705088e-06 8.380919307044237e-06 8.443515427057563e-06 8.479280022757011e-06 9.570701545544959e-06 7.809164272146207e-06 8.303864711770324e-06 8.642521501085852e-06 8.47844470869727e-06 7.917597780963161e-06 1.6328514729282408e-07
7.0 69.66523943213109 1.2000000000000002 68548822645266.2 84722741414059.81 138356637897178.1 181970085860998.25 195433945577539.62 214289060112005.62 285101826750391.0 338064836205981.56 398107170553496.94 481947797625127.1 633869711256926.4 833681184619633.1 1976969640111858.0 4.438901219329734e-05 4.386203798340515e-05 2.4250500119607508e-05 1.4533020317681482e-05 1.2355261603213472e-05 1.0278632686586919e-05 6.611252698973956e-06 4.995822010446515e-06 2.9424481361451464e-06 2.1340964717929554e-06 1.3039977014165085e-06 6.994469171119797e-07 2.5138364245946014e-10 4.438901219329734e-06 4.386203798340516e-06 2.425050011960751e-06 1.4533020317681483e-06 1.2355261603213472e-06 1.0278632686586919e-06 6.611252698973956e-07 4.995822010446515e-07 2.942448136145147e-07 2.1340964717929556e-07 1.3039977014165084e-07 6.994469171119798e-08 2.5138364245946014e-11
8.0 0.20826858155631836 0.1 68548822645266.2 84722741414059.81 138356637897178.1 181970085860998.25 195433945577539.62 214289060112005.62 285101826750391.0 338064836205981.56 398107170553496.94 481947797625127.1 633869711256926.4 833681184619633.1 1976969640111858.0 1.1063890729905878e-07 1.5020973576377137e-07 2.6111686818387287e-07 2.5106331592447895e-07 2.3493270336826696e-07 2.1875351936370822e-07 1.6004614217927708e-07 1.3212521588756248e-07 1.0417866944010827e-07 8.644544513529495e-08 7.084741181420568e-08 4.53060506959027e-08 1.8866529330004915e-08 1.1063890729905879e-08 1.502097357637714e-08 2.6111686818387287e-08 2.5106331592447897e-08 2.34932703368267e-08 2.1875351936370824e-08 1.600461421792771e-08 1.3212521588756248e-08 1.0417866944010828e-08 8.644544513529495e-09 7.084741181420568e-09 4.530605069590271e-09 1.8866529330004917e-09
9.0 0.6021987226629293 0.5 68548822645266.2 84722741414059.81 138356637897178.1 181970085860998.25 195433945577539.62 214289060112005.62 285101826750391.0 338064836205981.56 398107170553496.94 481947797625127.1 633869711256926.4 833681184619633.1 1976969640111858.0 4.792809989224768e-07 5.294885242953802e-07 6.005770091104083e-07 4.542401818647612e-07 4.483168556254959e-07 3.880414296152695e-07 2.3580643528191e-07 1.7709057963994524e-07 1.4968715072986433e-07 1.2255363638532797e-07 6.884618101179881e-08 4.907360977951838e-08 9.205409523003961e-10 4.7928099892247684e-08 5.294885242953803e-08 6.005770091104082e-08 4.542401818647612e-08 4.483168556254959e-08 3.8804142961526953e-08 2.3580643528191002e-08 1.7709057963994524e-08 1.4968715072986435e-08 1.2255363638532797e-08 6.884618101179881e-09 4.907360977951838e-09 9.205409523003961e-11
10.0 303.3468998193599 1.1 68548822645266.2 84722741414059.81 138356637897178.1 181970085860998.25 195433945577539.62 214289060112005.62 285101826750391.0 338064836205981.56 398107170553496.94 481947797625127.1 633869711256926.4 833681184619633.1 1976969640111858.0 0.0003272819883044941 0.00035039311272574573 0.0001935887121886417 0.000112725114038131 9.678830822398772e-05 7.89481101310074e-05 4.949335589824582e-05 3.8948906262603895e-05 2.235669748693342e-05 1.7077887771906755e-05 1.0869082648220298e-05 6.079179215010407e-06 4.213513454220267e-09 3.272819883044941e-05 3.503931127257458e-05 1.935887121886417e-05 1.12725114038131e-05 9.678830822398773e-06 7.89481101310074e-06 4.949335589824582e-06 3.89489062626039e-06 2.235669748693342e-06 1.7077887771906756e-06 1.0869082648220298e-06 6.079179215010408e-07 4.2135134542202677e-10
