ID (disk)|filtername|central lambda (Angstrom)|central nu (log Hz)|description of filter
140385974611408|ISPI_J|12612|14.3759|description_dummy
4531451304|V_SUBARU|5484|14.7376|description_dummy
4492170448|IRAC2|44751|13.8259|description_dummy
4492169296|IRAC3|57019|13.7207|description_dummy
4492169656|IRAC1|35375|13.9280|description_dummy
4492170160|IRAC4|77844|13.5855|description_dummy
103425272576|R_NOAO|6589|14.6578|description_dummy
4531450656|u_CHFT|3823|14.8942|description_dummy
4531450728|g_CHFT|4877|14.7885|description_dummy
139987217633864|I845|9756|14.4874|description_dummy
4507918776|F105W|10517|14.4548|description_dummy
139692380329960|F435W|4322|14.8410|description_dummy
140385974640720|ISPI_K|21852|14.1372|description_dummy
4531450152|J_VISTA|12535|14.3786|description_dummy
139987217610080|U_VIMOS|3720|14.9061|description_dummy
4500677696|16Spitzer_spec|155833|13.2840|description_dummy
139987222621072|ISAACH|16429|14.2611|description_dummy
4499558200|Ks_Wircam|21497|14.1443|description_dummy
4531450368|K_VISTA|21540|14.1434|description_dummy
139987222619704|ISAACKs|21576|14.1427|description_dummy
4375775640|F098M|9850|14.4832|description_dummy
139692380327016|F850LP|9154|14.5151|description_dummy
4531451376|GALEX_2500|2304|15.1143|description_dummy
139987222387240|F814Wcool|7996|14.5738|description_dummy
139661462451336|MAMBO|762318318984696168448|-2.4054|description_dummy
4495792896|WISE1|33792|13.9479|description_dummy
4499526000|J_UKIRT|12510|14.3794|description_dummy
4531450944|r_CHFT|6231|14.6822|description_dummy
4524340936|MUSYC_R|6511|14.6630|description_dummy
4524340720|MUSYC_V|5380|14.7459|description_dummy
4531668104|MUSYC_U|3506|14.9319|description_dummy
139692380474256|wircam_Ks|21590|14.1424|description_dummy
4507906848|16Spitzer|16|17.2840|description_dummy
4531760016|PACS160|1697692|12.2468|description_dummy
4524340504|MUSYC_B|4600|14.8140|description_dummy
4492169728|Ks_2mass|21641|14.1414|description_dummy
4500069840|MUSYC_K|21314|14.1480|description_dummy
4499599016|MUSYC_J|12481|14.3804|description_dummy
4524341152|MUSYC_I|8338|14.5556|description_dummy
4500015872|MUSYC_H|16443|14.2607|description_dummy
4492169440|MIPS24|233569|13.1083|description_dummy
139987217610800|U38|3633|14.9164|description_dummy
4524341368|MUSYC_z|9034|14.5208|description_dummy
4492170016|H_2mass|16467|14.2601|description_dummy
4531450008|u_SDSS|3591|14.9214|description_dummy
103425272072|Bw_NOAO|4180|14.8555|description_dummy
139758243485960|MAMBO_NEW_NEW|11979208|11.3983|description_dummy
4531450800|z_SDSS|8855|14.5295|description_dummy
103425273080|K_NEWFIRM|21452|14.1452|description_dummy
139692380537920|R_s|6907|14.6374|description_dummy
4531451160|z_SUBARU|9037|14.5207|description_dummy
103425273656|Ks_NEWFIRM|21657|14.1411|description_dummy
140080709130648|La_Boca870|1031291424237|6.4633|description_dummy
4531759800|SPIRE250|2493709|12.0798|description_dummy
139987222621864|F850LPcool|9161|14.5147|description_dummy
139692385213544|F160W|15348|14.2906|description_dummy
4531759152|SPIRE500|5041086|11.7742|description_dummy
4531450512|Y_VISTA|10214|14.4675|description_dummy
4531451232|B_SUBARU|4460|14.8274|description_dummy
4531451520|GALEX_1500|1516|15.2960|description_dummy
4500070056|ALMA_band7|9398524|11.5036|description_dummy
139746523764856|MAMBO_NEW|762318318984696119715824664576|-11.4054|description_dummy
139692380459376|J_wfcam|12491|14.3801|description_dummy
4499632280|TENIS_J|12545|14.3782|description_dummy
139673514091440|harris_R|656|15.6597|description_dummy
4531450584|i_SDSS|7523|14.6003|description_dummy
4531451016|i_SUBARU|7641|14.5936|description_dummy
103425369080|H_NEWFIRM|16319|14.2640|description_dummy
4492168152|WISE4|222532|13.1293|description_dummy
139987217611160|Rc844|6533|14.6616|description_dummy
103425368504|J_NEWFIRM|12512|14.3794|description_dummy
4492169584|WISE3|123337|13.3856|description_dummy
4492170088|WISE2|46293|13.8112|description_dummy
4531450224|g_SDSS|4723|14.8025|description_dummy
140385974658256|SOFI_H|16429|14.2611|description_dummy
4492169368|PACS100|1036929|12.4609|description_dummy
4499599232|HAWKI_J|12584|14.3769|description_dummy
140385974658472|HAWKI_K|21484|14.1446|description_dummy
139692385212968|F140W|13877|14.3344|description_dummy
4507943928|PACS70|703896|12.6292|description_dummy
4531450440|r_SDSS|6213|14.6834|description_dummy
103425363768|I_NOAO|8084|14.5691|description_dummy
4531450872|g_SUBARU|4780|14.7973|description_dummy
4499602752|H_Wircam|16310|14.2642|description_dummy
4492169512|MIPS70|693933|12.6354|description_dummy
4531450296|z_CHFT|8828|14.5308|description_dummy
139692380474904|F125|12456|14.3813|description_dummy
139987217610512|V843|5378|14.7460|description_dummy
4492170376|MIPS160|1537255|12.2899|description_dummy
4531450080|i_CHFT|7618|14.5949|description_dummy
139987222387816|ISAACJ|12494|14.3800|description_dummy
139692380459880|wircam_H|16311|14.2642|description_dummy
139692385459808|F775W|7635|14.5939|description_dummy
4499607704|CTIO_U|3735|14.9044|description_dummy
139987217610656|R_VIMOS|6450|14.6671|description_dummy
4531449936|H_VISTA|16453|14.2604|description_dummy
4492169800|J_2mass|12495|14.3800|description_dummy
139987217634296|F606Wcool|5926|14.7039|description_dummy
4531451088|r_SUBARU|6295|14.6777|description_dummy
139987217611016|B842|4571|14.8167|description_dummy
4531759584|SPIRE350|3499071|11.9327|description_dummy
139692380324136|F606W|5850|14.7095|description_dummy
140112842418800|LaBoca_NEW|8743183|11.5350|description_dummy
5026304272|IRAS12|115980|13.4123|description_dummy
5025851984|IRAS25|238775|13.0987|description_dummy
5026304720|IRAS60|614850|12.6879|description_dummy
5023076880|IRAS100|1019480|12.4683|description_dummy
5015949136|ALMAband4_d|20000000|11.1757|description_dummy
5015655888|SMA850_d|8505000|11.5470|description_dummy
4877250000|SCUBA450_d|4505000|11.8230|description_dummy
5030840656|g_PS1|4866|14.7895|description_dummy
5028719824|r_PS1|6215|14.6833|description_dummy
5030856016|i_PS1|7545|14.5991|description_dummy
5030906576|z_PS1|8679|14.5382|description_dummy
5030858320|y_PS1|8679|14.5382|description_dummy
5030906896|Ks_VISTA|21540|14.1434|description_dummy
5030858512|Z_VISTA|8798|14.5323|description_dummy
4936000016|H_UKIDSS|16377|14.2624|description_dummy
4933536848|J_UKIDSS|12510|14.3794|description_dummy
4933835216|K_UKIDSS|22083|14.1326|description_dummy
4933873360|Y_UKIDSS|10319|14.4631|description_dummy
4933835344|Z_UKIDSS|8831|14.5307|description_dummy
4942145104|y_PS1_good|9633|14.4929|description_dummy
139659303309392|SWIFT_W2|2079|15.1589|description_dummy
139659303834960|SWIFT_M2|2257|15.1231|description_dummy
139659303313040|SWIFT_W1|2659|15.0520|description_dummy
139659327448784|SWIFT_U|3476|14.9357|description_dummy
139659303307856|SKY_u|3480|14.9351|description_dummy
139659303736272|u|3562|14.9250|description_dummy
139659304240592|SKY_v|3825|14.8940|description_dummy
139659303737488|SWIFT_B|4359|14.8373|description_dummy
139659304225872|g|4719|14.8028|description_dummy
139659303739152|SKY_g|4930|14.7838|description_dummy
139659303759568|SWIFT_V|5430|14.7419|description_dummy
139659303891088|r|6185|14.6853|description_dummy
139659303760208|SKY_r|6294|14.6778|description_dummy
139659303893840|i|7500|14.6016|description_dummy
139659303760400|SKY_i|7702|14.5901|description_dummy
139659303759184|z|8961|14.5243|description_dummy
139659303761936|SKY_z|9236|14.5112|description_dummy
139659304201424|M1|235123|13.1054|description_dummy
140397159290640|RAD_6E8|600000000|9.6985|description_dummy
140397158753744|RAD_21E8|2142856988|9.1457|description_dummy
140397159406160|XR_16E-1|2|18.2718|description_dummy
140397159451920|XR_10|10|17.4661|description_dummy
139896972872464|XR_14-195|0|18.8006|description_dummy
140573580410704|RAD_15GHz|200000000|10.1757|description_dummy
140311827504464|XR_2-10|4|17.9061|description_dummy
140453140789648|delta05-2keV|12|17.3833|description_dummy
140453139721488|delta2-12keV|4|17.9211|description_dummy
140433852619536|delta05-1keV|16|17.2641|description_dummy
140433851959952|delta1-2keV|8|17.5623|description_dummy
140433851549520|delta2-45keV|4|17.8912|description_dummy
140433851837968|delta45-12keV|2|18.2203|description_dummy
140049047783440|RAD_90GHz|33333330|10.9538|description_dummy
140561903609104|TENIS_K|21497|14.1443|description_dummy
