#         Lambda    Transmission
           4422.1001            0.000000
           4428.1001            0.000000
           4434.1001            0.000000
           4440.1001            0.000000
           4446.1001            0.000000
           4452.2002            0.000000
           4458.2002            0.000000
           4464.2002            0.000000
           4470.2002            0.000000
           4476.2002            0.000000
           4482.2002            0.000000
           4488.2002            0.000000
           4494.2002            0.000000
           4500.2002            0.000000
           4506.2002            0.000000
           4512.2002            0.000000
           4518.2002            0.000000
           4524.2002            0.000000
           4530.2002            0.000000
           4536.2002            0.000000
           4542.2998            0.000000
           4548.2998            0.000000
           4554.2998            0.000000
           4560.2998            0.000000
           4566.2998            0.000000
           4572.2998            0.000000
           4578.2998            0.000000
           4584.2998            0.000000
           4590.2998            0.000000
           4596.2998            0.000000
           4602.2998            0.000000
           4608.2998            0.000000
           4614.2998            0.000000
           4620.2998            0.000000
           4626.2998            0.000000
           4632.3999            0.000000
           4638.3999            0.000000
           4644.3999            0.000000
           4650.3999            0.000000
           4656.3999            0.000000
           4662.3999            0.000000
           4668.3999            0.000000
           4674.3999            0.000000
           4680.3999            0.000000
           4686.3999            0.000000
           4692.3999            0.000000
           4698.3999            0.000000
           4704.3999            0.000000
           4710.3999            0.000000
           4716.3999            0.000000
           4722.5000            0.000000
           4728.5000            0.000000
           4734.5000            0.000000
           4740.5000            0.000000
           4746.5000            0.000000
           4752.5000            0.000000
           4758.5000            0.000000
           4764.5000            0.000000
           4770.5000            0.000000
           4776.5000            0.000000
           4782.5000            0.000000
           4788.5000            0.000000
           4794.5000            0.000000
           4800.5000            0.000000
           4806.5000            0.000000
           4812.6001            0.000000
           4818.6001            0.000000
           4824.6001            0.000000
           4830.6001            0.000000
           4836.6001            0.000000
           4842.6001            0.000000
           4848.6001            0.000000
           4854.6001            0.000000
           4860.6001            0.000000
           4866.6001            0.000000
           4872.6001            0.000000
           4878.6001            0.000000
           4884.6001            0.000000
           4890.6001            0.000000
           4896.6001            0.000000
           4902.7002            0.000000
           4908.7002            0.000000
           4914.7002            0.000000
           4920.7002            0.000000
