#         Lambda    Transmission
           6500.0000           -0.000044
           6510.0000            0.000000
           6520.0000           -0.000044
           6530.0000           -0.000044
           6540.0000           -0.000044
           6550.0000           -0.000044
           6560.0000           -0.000044
           6570.0000            0.000000
           6580.0000           -0.000044
           6590.0000           -0.000044
           6600.0000            0.000000
           6610.0000            0.000000
           6620.0000            0.000000
           6630.0000            0.000000
           6640.0000            0.000000
           6650.0000            0.000000
           6660.0000           -0.000044
           6670.0000            0.000000
           6680.0000           -0.000044
           6690.0000           -0.000044
           6700.0000           -0.000044
           6710.0000           -0.000043
           6720.0000           -0.000043
           6730.0000            0.000000
           6740.0000           -0.000043
           6750.0000           -0.000043
           6760.0000           -0.000043
           6770.0000           -0.000043
           6780.0000           -0.000043
           6790.0000           -0.000043
           6800.0000           -0.000043
           6810.0000           -0.000043
           6820.0000           -0.000043
           6830.0000            0.000000
           6840.0000            0.000000
           6850.0000           -0.000043
           6860.0000            0.000000
           6870.0000            0.000000
           6880.0000            0.000000
           6890.0000           -0.000043
           6900.0000           -0.000172
           6910.0000            0.000000
           6920.0000            0.000000
           6930.0000            0.000043
           6940.0000            0.000043
           6950.0000            0.000129
           6960.0000            0.000258
           6970.0000            0.000473
           6980.0000            0.000816
           6990.0000            0.001374
           7000.0000            0.002189
           7010.0000            0.003471
           7020.0000            0.005219
           7030.0000            0.007602
           7040.0000            0.010831
           7050.0000            0.015028
           7060.0000            0.020316
           7070.0000            0.026860
           7080.0000            0.034823
           7090.0000            0.044240
           7100.0000            0.055484
           7110.0000            0.068292
           7120.0000            0.082615
           7130.0000            0.098488
           7140.0000            0.116069
           7150.0000            0.135141
           7160.0000            0.155027
           7170.0000            0.176349
           7180.0000            0.199016
           7190.0000            0.221773
           7200.0000            0.245990
           7210.0000            0.269585
           7220.0000            0.293224
           7230.0000            0.317114
           7240.0000            0.339560
           7250.0000            0.362834
           7260.0000            0.384343
           7270.0000            0.405326
           7280.0000            0.424637
           7290.0000            0.444085
           7300.0000            0.461913
           7310.0000            0.480167
           7320.0000            0.496484
           7330.0000            0.512093
           7340.0000            0.526753
           7350.0000            0.541360
           7360.0000            0.555226
           7370.0000            0.567589
           7380.0000            0.580350
           7390.0000            0.592782
           7400.0000            0.604926
           7410.0000            0.617145
           7420.0000            0.626638
           7430.0000            0.637333
           7440.0000            0.648305
           7450.0000            0.657604
           7460.0000            0.664721
           7470.0000            0.672959
           7480.0000            0.678472
           7490.0000            0.686214
           7500.0000            0.691401
           7510.0000            0.695525
           7520.0000            0.698598
           7530.0000            0.699964
           7540.0000            0.702876
           7550.0000            0.702063
           7560.0000            0.703500
           7570.0000            0.702710
           7580.0000            0.700331
           7590.0000            0.700846
           7600.0000            0.698350
           7610.0000            0.697583
           7620.0000            0.696505
           7630.0000            0.696454
           7640.0000            0.694680
           7650.0000            0.692565
           7660.0000            0.691398
           7670.0000            0.691021
           7680.0000            0.690598
           7690.0000            0.690957
           7700.0000            0.690592
           7710.0000            0.691864
           7720.0000            0.690586
           7730.0000            0.690419
           7740.0000            0.690910
           7750.0000            0.691242
           7760.0000            0.690750
           7770.0000            0.690950
           7780.0000            0.690552
           7790.0000            0.690292
           7800.0000            0.688418
           7810.0000            0.687745
           7820.0000            0.684889
           7830.0000            0.683667
           7840.0000            0.680709
           7850.0000            0.676893
           7860.0000            0.673806
           7870.0000            0.670940
           7880.0000            0.668401
