#         Lambda    Transmission
          18900.0000           -0.000067
          18905.0000           -0.000125
          18910.0000           -0.000147
          18915.0000           -0.000026
          18920.0000           -0.000085
          18925.0000           -0.000152
          18930.0000           -0.000012
          18935.0000           -0.000047
          18940.0000           -0.000173
          18945.0000           -0.000032
          18950.0000           -0.000058
          18955.0000            0.000061
          18960.0000            0.000013
          18965.0000           -0.000037
          18970.0000           -0.000138
          18975.0000           -0.000060
          18980.0000           -0.000039
          18985.0000           -0.000032
          18990.0000            0.000051
          18995.0000           -0.000040
          19000.0000           -0.000013
          19005.0000           -0.000050
          19010.0000            0.000009
          19015.0000            0.000008
          19020.0000           -0.000118
          19025.0000           -0.000023
          19030.0000            0.000085
          19035.0000           -0.000070
          19040.0000            0.000005
          19045.0000            0.000082
          19050.0000            0.000062
          19055.0000            0.000091
          19060.0000           -0.000159
          19065.0000           -0.000125
          19070.0000            0.000052
          19075.0000            0.000058
          19080.0000            0.000083
          19085.0000            0.000051
          19090.0000           -0.000000
          19095.0000            0.000006
          19100.0000            0.000084
          19105.0000            0.000013
          19110.0000            0.000115
          19115.0000            0.000062
          19120.0000            0.000178
          19125.0000           -0.000028
          19130.0000            0.000028
          19135.0000           -0.000059
          19140.0000            0.000098
          19145.0000            0.000062
          19150.0000            0.000001
          19155.0000            0.000188
          19160.0000            0.000076
          19165.0000            0.000099
          19170.0000            0.000032
          19175.0000            0.000130
          19180.0000            0.000133
          19185.0000            0.000112
          19190.0000            0.000226
          19195.0000            0.000071
          19200.0000            0.000247
          19205.0000           -0.000023
          19210.0000            0.000202
          19215.0000            0.000275
          19220.0000            0.000036
          19225.0000            0.000161
          19230.0000            0.000127
          19235.0000            0.000099
          19240.0000            0.000211
          19245.0000            0.000179
          19250.0000            0.000161
          19255.0000            0.000206
          19260.0000            0.000250
          19265.0000            0.000188
          19270.0000            0.000223
          19275.0000            0.000417
          19280.0000            0.000247
          19285.0000            0.000244
          19290.0000            0.000220
          19295.0000            0.000292
          19300.0000            0.000242
          19305.0000            0.000305
          19310.0000            0.000359
          19315.0000            0.000314
          19320.0000            0.000246
          19325.0000            0.000416
          19330.0000            0.000473
          19335.0000            0.000457
          19340.0000            0.000407
          19345.0000            0.000454
